sku,name,url_key,store_view_code,attribute_set_code,product_type,color,height,width,depth,weight,categories,product_websites,description,short_description,tax_class_name,visibility,price,discount_code,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,crosssell_skus,upsell_skus,additional_images,additional_image_labels,custom_options,associated_skus
EKD16124,"EKD Mild steel compact version, double door enclosure",ekd16124-ekd-mild-steel-compact-version-double-door-enclosure,,Eldon - Wall Mounted,simple,,1800mm,1600mm,400mm,147,Default Category/Enclosures/Floor Standing,base,"Floor standing, 1600x1200x400",Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,Taxable Goods,Search,684.71,E43,"EKD16124 EKD Mild steel compact version, double door enclosure",,Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,EKD.jpg,EKD16124,EKD.jpg,EKD16124,EKD.jpg,EKD16124,01.07.2015 15:38,01.07.2015 15:38,,,Block after Info Column,,1,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,0,1,0,0,1,,,,,,,
EKD16124PE,"EKD Mild steel compact version, double door enclosure",ekd16124pe-ekd-mild-steel-compact-version-double-door-enclosure,,Eldon - Wall Mounted,simple,,2000mm,1200mm,400mm,107,Default Category/Enclosures/Floor Standing,base,"Floor standing, 1600x1200x400",Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,Taxable Goods,Search,575.96,E43,"EKD16124PE EKD Mild steel compact version, double door enclosure",,Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,EKD.jpg,EKD16124PE,EKD.jpg,EKD16124PE,EKD.jpg,EKD16124PE,01.07.2015 15:38,01.07.2015 15:38,,,Block after Info Column,,1,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,0,1,0,0,1,,,,,,,
EKD16125,"EKD Mild steel compact version, double door enclosure",ekd16125-ekd-mild-steel-compact-version-double-door-enclosure,,Eldon - Wall Mounted,simple,,2000mm,1200mm,500mm,156,Default Category/Enclosures/Floor Standing,base,"Floor standing, 1600x1200x500",Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,Taxable Goods,Search,728.86,E43,"EKD16125 EKD Mild steel compact version, double door enclosure",,Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,EKD.jpg,EKD16125,EKD.jpg,EKD16125,EKD.jpg,EKD16125,01.07.2015 15:38,01.07.2015 15:38,,,Block after Info Column,,1,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,0,1,0,0,1,,,,,,,
EKD16125PE,"EKD Mild steel compact version, double door enclosure",ekd16125pe-ekd-mild-steel-compact-version-double-door-enclosure,,Eldon - Wall Mounted,simple,,2000mm,1600mm,400mm,116,Default Category/Enclosures/Floor Standing,base,"Floor standing, 1600x1200x500",Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,Taxable Goods,Search,620.11,E43,"EKD16125PE EKD Mild steel compact version, double door enclosure",,Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,EKD.jpg,EKD16125PE,EKD.jpg,EKD16125PE,EKD.jpg,EKD16125PE,01.07.2015 15:38,01.07.2015 15:38,,,Block after Info Column,,1,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,0,1,0,0,1,,,,,,,
EKD18124,"EKD Mild steel compact version, double door enclosure",ekd18124-ekd-mild-steel-compact-version-double-door-enclosure,,Eldon - Wall Mounted,simple,,1200mm,1200mm,300mm,161,Default Category/Enclosures/Floor Standing,base,"Floor standing, 1800x1200x400",Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,Taxable Goods,Search,695.04,E43,"EKD18124 EKD Mild steel compact version, double door enclosure",,Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,EKD.jpg,EKD18124,EKD.jpg,EKD18124,EKD.jpg,EKD18124,01.07.2015 15:38,01.07.2015 15:38,,,Block after Info Column,,1,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,0,1,0,0,1,,,,,,,
EKD18124PE,"EKD Mild steel compact version, double door enclosure",ekd18124pe-ekd-mild-steel-compact-version-double-door-enclosure,,Eldon - Wall Mounted,simple,,1200mm,1200mm,400mm,140,Default Category/Enclosures/Floor Standing,base,"Floor standing, 1800x1200x400",Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,Taxable Goods,Search,580,E43,"EKD18124PE EKD Mild steel compact version, double door enclosure",,Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,EKD.jpg,EKD18124PE,EKD.jpg,EKD18124PE,EKD.jpg,EKD18124PE,01.07.2015 15:38,01.07.2015 15:38,,,Block after Info Column,,1,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,0,1,0,0,1,,,,,,,
EKD18125,"EKD Mild steel compact version, double door enclosure",ekd18125-ekd-mild-steel-compact-version-double-door-enclosure,,Eldon - Wall Mounted,simple,,1400mm,1000mm,300mm,171,Default Category/Enclosures/Floor Standing,base,"Floor standing, 1800x1200x500",Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,Taxable Goods,Search,779.51,E43,"EKD18125 EKD Mild steel compact version, double door enclosure",,Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,EKD.jpg,EKD18125,EKD.jpg,EKD18125,EKD.jpg,EKD18125,01.07.2015 15:38,01.07.2015 15:38,,,Block after Info Column,,1,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,0,1,0,0,1,,,,,,,
EKD18125PE,"EKD Mild steel compact version, double door enclosure",ekd18125pe-ekd-mild-steel-compact-version-double-door-enclosure,,Eldon - Wall Mounted,simple,,1400mm,1000mm,400mm,150,Default Category/Enclosures/Floor Standing,base,"Floor standing, 1800x1200x500",Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,Taxable Goods,Search,664.46,E43,"EKD18125PE EKD Mild steel compact version, double door enclosure",,Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,EKD.jpg,EKD18125PE,EKD.jpg,EKD18125PE,EKD.jpg,EKD18125PE,01.07.2015 15:38,01.07.2015 15:38,,,Block after Info Column,,1,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,0,1,0,0,1,,,,,,,
EKD18164,"EKD Mild steel compact version, double door enclosure",ekd18164-ekd-mild-steel-compact-version-double-door-enclosure,,Eldon - Wall Mounted,simple,,1400mm,1200mm,300mm,209,Default Category/Enclosures/Floor Standing,base,"Floor standing, 1800x1600x400",Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,Taxable Goods,Search,806.45,E43,"EKD18164 EKD Mild steel compact version, double door enclosure",,Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,EKD.jpg,EKD18164,EKD.jpg,EKD18164,EKD.jpg,EKD18164,01.07.2015 15:38,01.07.2015 15:38,,,Block after Info Column,,1,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,0,1,0,0,1,,,,,,,
EKD18164PE,"EKD Mild steel compact version, double door enclosure",ekd18164pe-ekd-mild-steel-compact-version-double-door-enclosure,,Eldon - Wall Mounted,simple,,1400mm,1200mm,400mm,149,Default Category/Enclosures/Floor Standing,base,"Floor standing, 1800x1600x400",Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,Taxable Goods,Search,671.78,E43,"EKD18164PE EKD Mild steel compact version, double door enclosure",,Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,EKD.jpg,EKD18164PE,EKD.jpg,EKD18164PE,EKD.jpg,EKD18164PE,01.07.2015 15:38,01.07.2015 15:38,,,Block after Info Column,,1,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,0,1,0,0,1,,,,,,,
EKD20124,"EKD Mild steel compact version, double door enclosure",ekd20124-ekd-mild-steel-compact-version-double-door-enclosure,,Eldon - Wall Mounted,simple,,1600mm,1200mm,400mm,176,Default Category/Enclosures/Floor Standing,base,"Floor standing, 2000x1200x400",Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,Taxable Goods,Search,788.42,E43,"EKD20124 EKD Mild steel compact version, double door enclosure",,Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,EKD.jpg,EKD20124,EKD.jpg,EKD20124,EKD.jpg,EKD20124,01.07.2015 15:38,01.07.2015 15:38,,,Block after Info Column,,1,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,0,1,0,0,1,,,,,,,
EKD20124PE,"EKD Mild steel compact version, double door enclosure",ekd20124pe-ekd-mild-steel-compact-version-double-door-enclosure,,Eldon - Wall Mounted,simple,,2000mm,1200mm,500mm,127,Default Category/Enclosures/Floor Standing,base,"Floor standing, 2000x1200x400",Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,Taxable Goods,Search,664.38,E43,"EKD20124PE EKD Mild steel compact version, double door enclosure",,Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,EKD.jpg,EKD20124PE,EKD.jpg,EKD20124PE,EKD.jpg,EKD20124PE,01.07.2015 15:38,01.07.2015 15:38,,,Block after Info Column,,1,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,0,1,0,0,1,,,,,,,
EKD20125,"EKD Mild steel compact version, double door enclosure",ekd20125-ekd-mild-steel-compact-version-double-door-enclosure,,Eldon - Wall Mounted,simple,,2000mm,1600mm,400mm,187,Default Category/Enclosures/Floor Standing,base,"Floor standing, 2000x1200x500",Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,Taxable Goods,Search,862.98,E43,"EKD20125 EKD Mild steel compact version, double door enclosure",,Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,EKD.jpg,EKD20125,EKD.jpg,EKD20125,EKD.jpg,EKD20125,01.07.2015 15:38,01.07.2015 15:38,,,Block after Info Column,,1,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,0,1,0,0,1,,,,,,,
EKD20125PE,"EKD Mild steel compact version, double door enclosure",ekd20125pe-ekd-mild-steel-compact-version-double-door-enclosure,,Eldon - Wall Mounted,simple,,1600mm,1200mm,500mm,138,Default Category/Enclosures/Floor Standing,base,"Floor standing, 2000x1200x500",Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,Taxable Goods,Search,738.95,E43,"EKD20125PE EKD Mild steel compact version, double door enclosure",,Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,EKD.jpg,EKD20125PE,EKD.jpg,EKD20125PE,EKD.jpg,EKD20125PE,01.07.2015 15:38,01.07.2015 15:38,,,Block after Info Column,,1,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,0,1,0,0,1,,,,,,,
EKD20164,"EKD Mild steel compact version, double door enclosure",ekd20164-ekd-mild-steel-compact-version-double-door-enclosure,,Eldon - Wall Mounted,simple,,1800mm,1200mm,400mm,227,Default Category/Enclosures/Floor Standing,base,"Floor standing, 2000x1600x400",Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,Taxable Goods,Search,993.67,E43,"EKD20164 EKD Mild steel compact version, double door enclosure",,Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,EKD.jpg,EKD20164,EKD.jpg,EKD20164,EKD.jpg,EKD20164,01.07.2015 15:38,01.07.2015 15:38,,,Block after Info Column,,1,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,0,1,0,0,1,,,,,,,
EKD20164PE,"EKD Mild steel compact version, double door enclosure",ekd20164pe-ekd-mild-steel-compact-version-double-door-enclosure,,Eldon - Wall Mounted,simple,,1800mm,1200mm,500mm,160,Default Category/Enclosures/Floor Standing,base,"Floor standing, 2000x1600x400",Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,Taxable Goods,Search,853.1,E43,"EKD20164PE EKD Mild steel compact version, double door enclosure",,Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,EKD.jpg,EKD20164PE,EKD.jpg,EKD20164PE,EKD.jpg,EKD20164PE,01.07.2015 15:38,01.07.2015 15:38,,,Block after Info Column,,1,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,0,1,0,0,1,,,,,,,
EKD,"Mild steel compact version, double door enclosure",ekd-mild-steel-compact-version-double-door-enclosure,,Eldon - Wall Mounted,grouped,,,,,,Default Category/Enclosures/Floor Standing,base,,,Taxable Goods,"Catalog, Search",,E43,"EKD Mild steel compact version, double door enclosure",,Body and welded rear panel: 1.5 mm mild steel. Door: 2 mm mild steel. Mounting plate: 3 mm galvanized steel. Bottom plates: 1 mm galvanized steel.,EKD.jpg,EKD,EKD.jpg,EKD,EKD.jpg,EKD,01.07.2015 15:38,01.07.2015 15:38,,,Block after Info Column,,1,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,0,1,0,0,1,,,,,,,"EKD12123=2,EKD12123PE=1,EKD12124=3,EKD12124PE=4,EKD14103=5,EKD14103PE=6,EKD14104=7,EKD14104PE=8,EKD14124=9,EKD14124PE=10,EKD16124=11,EKD16124PE=12,EKD16125=13,EKD16125PE=14,EKD18124=15,EKD18124PE=16,EKD18125=17,EKD18125PE=18,EKD18164=19,EKD18164PE=20,EKD20124=21,EKD20124PE=22,EKD20125=23,EKD20125PE=24,EKD20164=25,EKD20164PE=26"
